product_id,product_name,product_type,sales_type,price,cost
1,和生菓子_1,和生菓子,単品,662,279
2,和生菓子_2,和生菓子,単品,557,359
3,和生菓子_3,和生菓子,単品,655,327
4,和生菓子_4,和生菓子,単品,664,456
5,和生菓子_5,和生菓子,単品,459,284
6,米菓_1,米菓,単品,249,140
7,米菓_2,米菓,単品,232,104
8,米菓_3,米菓,単品,277,169
9,米菓_4,米菓,単品,257,152
10,米菓_5,米菓,単品,272,166
11,豆菓子_1,豆菓子,単品,232,159
12,豆菓子_2,豆菓子,単品,243,165
13,豆菓子_3,豆菓子,単品,298,127
14,豆菓子_4,豆菓子,単品,247,162
15,豆菓子_5,豆菓子,単品,295,157
16,和干菓子その他_1,和干菓子その他,単品,234,100
17,和干菓子その他_2,和干菓子その他,単品,232,149
18,和干菓子その他_3,和干菓子その他,単品,222,114
19,和干菓子その他_4,和干菓子その他,単品,276,140
20,和干菓子その他_5,和干菓子その他,単品,217,132
21,クッキー_1,クッキー,単品,216,144
22,クッキー_2,クッキー,単品,237,118
23,クッキー_3,クッキー,単品,294,124
24,クッキー_4,クッキー,単品,262,177
25,クッキー_5,クッキー,単品,260,139
26,焼き菓子その他_1,焼き菓子その他,単品,226,97
27,焼き菓子その他_2,焼き菓子その他,単品,212,97
28,焼き菓子その他_3,焼き菓子その他,単品,288,194
29,焼き菓子その他_4,焼き菓子その他,単品,227,93
30,焼き菓子その他_5,焼き菓子その他,単品,249,121
31,ケーキ_1,ケーキ,単品,724,466
32,ケーキ_2,ケーキ,単品,771,532
33,ケーキ_3,ケーキ,単品,620,279
34,ケーキ_4,ケーキ,単品,550,324
35,ケーキ_5,ケーキ,単品,797,491
36,シュー菓子_1,シュー菓子,単品,495,341
37,シュー菓子_2,シュー菓子,単品,472,271
38,シュー菓子_3,シュー菓子,単品,390,231
39,シュー菓子_4,シュー菓子,単品,455,264
40,シュー菓子_5,シュー菓子,単品,485,291
41,チョコ_1,チョコ,単品,227,143
42,チョコ_2,チョコ,単品,266,175
43,チョコ_3,チョコ,単品,225,131
44,チョコ_4,チョコ,単品,217,95
45,チョコ_5,チョコ,単品,246,160
46,ゼリー・プリン_1,ゼリー・プリン,単品,236,129
47,ゼリー・プリン_2,ゼリー・プリン,単品,286,145
48,ゼリー・プリン_3,ゼリー・プリン,単品,247,169
49,ゼリー・プリン_4,ゼリー・プリン,単品,297,160
50,ゼリー・プリン_5,ゼリー・プリン,単品,279,125
51,ギフト_1,ギフト,ギフト,1155,715
52,ギフト_2,ギフト,ギフト,1006,585
53,ギフト_3,ギフト,ギフト,3222,1967
54,ギフト_4,ギフト,ギフト,1302,592
55,ギフト_5,ギフト,ギフト,1599,666
56,定期便_1,定期便,定期便,1277,560
57,定期便_2,定期便,定期便,1462,932
58,定期便_3,定期便,定期便,2076,1089
59,定期便_4,定期便,定期便,3086,1970
60,定期便_5,定期便,定期便,1882,1145
