transaction_id,purchase_datetime,customer_id,product_id,quantity,unit_price,discount_rate,store_id
100001,2024-11-04 01:20:00,877,56,5,1277,0.05,10
100002,2024-11-04 08:45:00,532,29,3,227,0.1,5
100003,2024-11-04 22:14:00,1737,60,2,1882,0.05,5
100004,2024-11-04 05:57:00,5688,31,1,724,0.1,13
100005,2024-11-04 11:18:00,5152,30,1,249,0.05,5
100006,2024-11-04 04:51:00,1499,36,7,495,0.05,7
100007,2024-11-04 23:58:00,9260,23,3,294,0.05,2
100008,2024-11-04 03:37:00,4913,56,3,1277,0.0,5
100009,2024-11-04 18:37:00,8310,7,2,232,0.0,5
100010,2024-11-04 10:09:00,304,30,1,249,0.05,1
100011,2024-11-04 05:35:00,8417,4,3,664,0.0,10
100012,2024-11-04 21:30:00,9815,8,4,277,0.1,5
100013,2024-11-04 15:25:00,1299,48,2,247,0.05,5
100014,2024-11-04 07:59:00,2480,60,1,1882,0.1,1
100015,2024-11-04 10:15:00,9205,29,1,227,0.0,10
100016,2024-11-04 06:45:00,5338,12,4,243,0.1,12
100017,2024-11-04 16:39:00,7411,17,1,232,0.0,8
100018,2024-11-04 03:41:00,4908,17,1,232,0.0,5
100019,2024-11-04 00:09:00,2914,14,3,247,0.0,10
100020,2024-11-04 22:53:00,9148,5,1,459,0.0,4
100021,2024-11-04 09:06:00,227,8,1,277,0.1,6
100022,2024-11-04 07:59:00,8573,19,2,276,0.0,1
100023,2024-11-04 08:04:00,4806,26,1,226,0.1,3
100024,2024-11-04 18:57:00,9553,33,1,620,0.0,13
100025,2024-11-04 14:59:00,735,54,2,1302,0.0,5
100026,2024-11-04 05:20:00,338,44,4,217,0.1,10
100027,2024-11-04 11:29:00,4742,33,1,620,0.05,12
100028,2024-11-04 22:02:00,2894,43,3,225,0.0,10
100029,2024-11-04 04:48:00,5108,26,2,226,0.0,14
100030,2024-11-04 23:52:00,5318,38,1,390,0.05,9
100031,2024-11-04 02:06:00,1299,55,2,1599,0.05,10
100032,2024-11-04 06:46:00,1496,55,1,1599,0.1,7
100033,2024-11-04 00:34:00,980,52,3,1006,0.05,7
100034,2024-11-04 15:53:00,2215,17,3,232,0.1,2
100035,2024-11-04 23:25:00,9486,16,1,234,0.0,5
100036,2024-11-04 07:48:00,9471,22,3,237,0.05,10
100037,2024-11-04 18:28:00,7745,33,2,620,0.1,14
100038,2024-11-04 02:21:00,9679,21,2,216,0.0,1
100039,2024-11-04 13:55:00,5574,15,1,295,0.05,1
100040,2024-11-04 01:45:00,366,12,2,243,0.1,7
100041,2024-11-04 20:37:00,3648,28,3,288,0.05,5
100042,2024-11-04 10:42:00,877,15,1,295,0.05,10
100043,2024-11-04 03:33:00,6014,19,2,276,0.0,12
100044,2024-11-04 17:56:00,9730,46,1,236,0.1,1
100045,2024-11-04 22:05:00,1888,60,2,1882,0.05,4
100046,2024-11-04 13:38:00,2364,51,2,1155,0.05,4
100047,2024-11-04 00:49:00,8258,4,4,664,0.05,15
100048,2024-11-04 16:46:00,9422,31,1,724,0.0,1
100049,2024-11-04 00:16:00,7988,15,1,295,0.1,13
100050,2024-11-04 01:35:00,654,9,2,257,0.0,6
100051,2024-11-04 08:52:00,1543,40,3,485,0.1,5
100052,2024-11-04 21:54:00,5591,2,2,557,0.0,8
100053,2024-11-04 12:20:00,4657,28,4,288,0.05,8
100054,2024-11-04 19:56:00,3380,36,1,495,0.1,2
100055,2024-11-04 18:58:00,6777,41,5,227,0.0,9
100056,2024-11-04 23:29:00,3843,27,1,212,0.1,3
100057,2024-11-04 18:32:00,3979,32,1,771,0.0,12
100058,2024-11-04 03:17:00,7580,30,4,249,0.0,5
100059,2024-11-04 12:19:00,1520,59,1,3086,0.1,15
100060,2024-11-04 05:30:00,1364,32,2,771,0.0,2
100061,2024-11-04 18:07:00,2801,51,5,1155,0.1,6
100062,2024-11-04 03:22:00,9175,40,2,485,0.05,5
100063,2024-11-04 19:56:00,204,50,1,279,0.05,1
100064,2024-11-04 02:45:00,2616,26,3,226,0.0,8
100065,2024-11-04 00:00:00,2228,56,2,1277,0.1,15
100066,2024-11-04 19:17:00,63,59,3,3086,0.1,15
100067,2024-11-04 09:30:00,1618,13,3,298,0.1,9
100068,2024-11-04 07:09:00,6812,9,1,257,0.0,4
100069,2024-11-04 12:11:00,1239,17,7,232,0.0,12
100070,2024-11-04 05:22:00,6698,39,2,455,0.05,11
100071,2024-11-04 11:39:00,4240,14,4,247,0.1,3
100072,2024-11-04 03:18:00,5392,23,4,294,0.0,7
100073,2024-11-04 03:23:00,9677,33,1,620,0.1,9
100074,2024-11-04 11:43:00,8097,7,5,232,0.05,5
100075,2024-11-04 22:00:00,5525,12,1,243,0.0,5
100076,2024-11-04 12:02:00,7876,32,2,771,0.05,11
100077,2024-11-04 10:15:00,8460,55,1,1599,0.0,10
100078,2024-11-04 08:46:00,9113,14,1,247,0.05,8
100079,2024-11-04 09:44:00,6219,52,3,1006,0.0,15
100080,2024-11-04 08:42:00,9044,46,3,236,0.0,5
100081,2024-11-04 13:00:00,3781,25,4,260,0.05,1
100082,2024-11-04 00:56:00,5575,11,6,232,0.05,8
100083,2024-11-04 06:24:00,4673,28,1,288,0.05,6
100084,2024-11-04 21:01:00,3343,58,2,2076,0.1,14
100085,2024-11-04 23:40:00,5630,32,1,771,0.0,1
100086,2024-11-04 09:08:00,7803,38,2,390,0.0,12
100087,2024-11-04 02:18:00,112,9,3,257,0.0,15
