transaction_id,purchase_datetime,customer_id,product_id,quantity,unit_price,discount_rate,store_id
50001,2023-12-13 05:57:00,8399,15,2,224,0.1,1
50002,2023-12-13 18:50:00,7427,10,2,206,0.0,5
50003,2023-12-13 07:32:00,7933,10,3,206,0.3,10
50004,2023-12-13 03:33:00,6498,7,3,288,0.1,3
50005,2023-12-13 19:58:00,7452,48,3,297,0.3,4
50006,2023-12-14 00:00:00,5697,9,1,271,0.0,2
50007,2023-12-13 16:23:00,5672,52,4,1357,0.3,10
50008,2023-12-13 14:14:00,4962,25,2,237,0.1,6
50009,2023-12-13 09:32:00,9843,21,2,284,0.3,10
50010,2023-12-13 14:23:00,7917,22,2,276,0.1,1
50011,2023-12-13 10:23:00,9203,20,1,206,0.3,1
50012,2023-12-13 10:14:00,8662,29,2,260,0.3,2
50013,2023-12-13 17:41:00,2124,5,3,512,0.3,9
50014,2023-12-13 19:31:00,4603,36,8,385,0.0,7
50015,2023-12-13 17:05:00,831,33,4,453,0.3,1
50016,2023-12-13 05:38:00,9013,16,2,255,0.1,15
50017,2023-12-13 08:43:00,5327,9,1,271,0.1,3
50018,2023-12-13 02:45:00,1445,9,1,271,0.3,15
50019,2023-12-13 06:05:00,2774,5,1,512,0.0,15
50020,2023-12-13 11:08:00,6046,15,1,224,0.0,10
50021,2023-12-13 18:21:00,6028,10,4,206,0.3,14
50022,2023-12-13 16:21:00,2463,6,3,263,0.0,10
50023,2023-12-13 22:40:00,3464,11,1,256,0.3,1
50024,2023-12-13 00:31:00,7884,38,1,494,0.1,14
50025,2023-12-13 00:19:00,8801,10,2,206,0.1,10
50026,2023-12-13 23:50:00,5013,32,12,745,0.3,5
50027,2023-12-13 22:00:00,5278,47,5,248,0.3,13
50028,2023-12-13 20:58:00,5815,28,3,205,0.3,8
50029,2023-12-13 00:39:00,4770,60,1,2630,0.3,9
50030,2023-12-13 12:28:00,8718,34,4,741,0.0,1
50031,2023-12-13 14:04:00,486,57,2,2664,0.0,5
50032,2023-12-13 16:00:00,3673,49,2,204,0.0,2
50033,2023-12-13 01:17:00,2622,23,3,227,0.3,12
50034,2023-12-13 18:23:00,6320,51,1,1003,0.3,15
50035,2023-12-13 20:57:00,9694,20,4,206,0.1,10
50036,2023-12-13 18:55:00,1725,27,2,245,0.1,9
50037,2023-12-13 01:01:00,2675,25,2,237,0.3,4
50038,2023-12-13 15:24:00,5854,21,1,284,0.3,6
50039,2023-12-13 01:19:00,9634,27,5,245,0.0,15
50040,2023-12-13 00:29:00,7602,4,2,621,0.0,1
50041,2023-12-13 21:41:00,8748,5,1,512,0.1,11
50042,2023-12-13 10:24:00,7175,29,1,260,0.3,5
50043,2023-12-13 02:25:00,823,50,1,211,0.1,11
50044,2023-12-13 18:16:00,3488,51,2,1003,0.0,5
50045,2023-12-13 01:52:00,9700,18,3,230,0.3,13
50046,2023-12-13 10:56:00,227,21,2,284,0.1,2
50047,2023-12-13 22:38:00,3320,46,1,293,0.0,3
50048,2023-12-13 20:45:00,3986,8,4,283,0.0,9
50049,2023-12-13 22:59:00,2781,30,1,268,0.0,13
50050,2023-12-13 10:43:00,8666,45,2,298,0.1,7
50051,2023-12-13 06:56:00,1997,51,3,1003,0.1,9
50052,2023-12-13 16:44:00,1244,30,2,268,0.1,2
50053,2023-12-13 23:27:00,9507,31,20,672,0.0,5
50054,2023-12-13 09:30:00,6083,30,4,268,0.0,14
50055,2023-12-13 21:11:00,3959,5,5,512,0.0,5
50056,2023-12-13 06:27:00,9855,9,2,271,0.3,12
50057,2023-12-13 21:22:00,537,4,3,621,0.0,3
50058,2023-12-13 11:02:00,4415,14,1,272,0.0,15
50059,2023-12-13 12:59:00,5141,21,2,284,0.3,7
50060,2023-12-13 03:10:00,5251,14,1,272,0.3,6
50061,2023-12-13 08:15:00,3406,52,3,1357,0.1,14
50062,2023-12-13 10:56:00,5785,38,1,494,0.0,13
50063,2023-12-13 03:52:00,7837,23,2,227,0.0,13
50064,2023-12-13 21:21:00,2288,40,4,302,0.3,12
50065,2023-12-13 08:25:00,6953,37,4,456,0.3,14
50066,2023-12-13 11:55:00,6404,18,2,230,0.0,9
50067,2023-12-13 01:28:00,4476,9,1,271,0.3,7
50068,2023-12-13 10:29:00,8285,7,4,288,0.0,2
50069,2023-12-13 09:54:00,7188,9,3,271,0.3,5
50070,2023-12-13 06:46:00,5642,6,2,263,0.1,1
50071,2023-12-13 14:23:00,8962,27,2,245,0.3,14
50072,2023-12-13 20:53:00,9562,12,1,259,0.3,2
50073,2023-12-13 20:53:00,1316,24,1,258,0.1,10
50074,2023-12-13 12:31:00,2679,4,3,621,0.0,3
50075,2023-12-13 16:26:00,5854,31,12,672,0.3,5
50076,2023-12-13 05:45:00,5359,49,5,204,0.3,2
50077,2023-12-13 08:53:00,675,47,4,248,0.0,10
50078,2023-12-13 16:56:00,8163,32,8,745,0.1,1
50079,2023-12-13 20:15:00,6770,10,2,206,0.0,10
50080,2023-12-13 19:11:00,780,32,4,745,0.0,7
50081,2023-12-13 04:48:00,1397,31,12,672,0.0,5
50082,2023-12-13 18:27:00,449,26,6,236,0.0,11
50083,2023-12-13 00:44:00,2135,3,1,521,0.1,3
50084,2023-12-13 11:18:00,4192,48,3,297,0.1,8
50085,2023-12-13 03:58:00,3861,12,2,259,0.0,12
50086,2023-12-13 08:55:00,735,39,4,460,0.3,10
50087,2023-12-13 03:36:00,1025,40,4,302,0.0,10
50088,2023-12-13 21:41:00,4227,39,12,460,0.0,10
50089,2023-12-13 18:26:00,6894,2,1,552,0.0,14
